year,site,nest,species,ring,code,mate_ring,mate_code,chick1,chick2,chick3,mol_sex_focal,mol_sex_mate,captured_focalyear_focal,captured_focalyear_mate,comments_stdfile,error.p,error.ch,field_sex_focal,field_sex_mate,nest.id,year.cr,year.mr,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,northing,easting,no_chicks,clutch_size,hatch_date,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,bf.quality,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen
2013,Andavadoaka,1,KiP,FH47459,B.B|M.B,FH68822,L.G|M.O,FH47478,FH47744,NA,F,M,yes,no,NA,NA,NA,F,NA,2013-KiP-Andavadoaka-1,2013,2013,24-04-13,07-05-13,18-03-13,18-03-13,18-03-13,18-03-13,306,308,329,HATCH,7556284,319799,2,2,29-03-13,06-03-13,08-03-13,29-03-13,29-03-13,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-03-13,7.4,19.7,6.2,29-03-13,7.4,19.2,6.2,NA,NA,NA,NA,19.7,29-03-13,1.303,29-03-13,02-03-13,27-03-13,06-03-13,-3.303,18-03-13,07-05-13
2014,Andavadoaka,121,KiP,FH72592,Y.R|W.M,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2014-KiP-Andavadoaka-121,2014,2014,05-04-14,28-05-14,05-04-14,05-04-14,05-04-14,05-04-14,328,405,410,PRED,7561095,320804,0,2,NA,28-03-14,05-04-14,10-04-14,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-03-14,NA,05-04-14,28-05-14
2015,Andavadoaka,-501,KiP,FH73326,M.B|G.B,NA,NA,FH73324,FH73325,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2015-KiP-Andavadoaka--501,2015,2015,27-04-15,27-04-15,23-04-15,23-04-15,23-04-15,23-04-15,NA,NA,NA,NA,NA,NA,NA,NA,21-04-15,NA,NA,NA,NA,423,423,NA,0,1,NA,NA,NA,423,423,423,NA,23-04-15,23-04-15,NA,NA,NA,23-04-15,23-04-15,23-04-15,NA,23-04-15,8,21.2,6.3,23-04-15,7.6,20.9,6.27,NA,NA,NA,NA,21.2,23-04-15,5.083,23-04-15,23-03-15,17-04-15,23-03-15,NA,23-04-15,27-04-15
2015,Andavadoaka,329,KiP,FH73476,B.M|G.W,FH73484,B.M|O.W,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-329,2015,2015,NA,NA,02-04-15,02-04-15,02-04-15,02-04-15,329,331,414,PRED,7555982,321387,0,2,NA,29-03-15,31-03-15,14-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-03-15,NA,02-04-15,02-04-15
2015,Andavadoaka,246,KiP,FH73111,G.M|R.W,FH73120,G.M|Y.R,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-246,2015,2015,NA,NA,09-04-15,09-04-15,09-04-15,09-04-15,406,407,415,PRED,7553752,319865,0,2,NA,06-04-15,07-04-15,15-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06-04-15,NA,09-04-15,09-04-15
2010,Andavadoaka,221,KiP,FH47577,Y.L|B.M,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2010-KiP-Andavadoaka-221,2010,2010,NA,NA,17-03-10,17-03-10,17-03-10,17-03-10,301,302,418,DESERTED,7556343,321148,NA,2,NA,01-03-10,02-03-10,18-04-10,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-03-10,NA,17-03-10,17-03-10
2014,Andavadoaka,322,KiP,FH72843,O.M|B.L,FH72919,B.M|L.B,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2014-KiP-Andavadoaka-322,2014,2014,NA,NA,04-04-14,04-04-14,04-04-14,04-04-14,401,403,416,DESER,7560367,323595,NA,2,NA,01-04-14,03-04-14,16-04-14,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-04-14,NA,04-04-14,04-04-14
2010,Andavadoaka,312,WfP,FH47546,R.B|W.M,FH47547,R.G|R.M,NA,NA,NA,M,F,yes,yes,NA,NA,NA,M,NA,2010-WfP-Andavadoaka-312,2010,2010,NA,NA,25-03-10,25-03-10,25-03-10,25-03-10,319,324,NA,UNKNOWN,7555182,322201,NA,2,NA,19-03-10,24-03-10,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-03-10,NA,25-03-10,25-03-10
2013,Andavadoaka,4,MP,FH47025,B.Y|M.R,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2013-MP-Andavadoaka-4,2013,2013,10-04-13,10-04-13,02-04-13,02-04-13,02-04-13,02-04-13,321,321,416,UNKNOWN,7553214,320641,NA,2,NA,21-03-13,21-03-13,16-04-13,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-03-13,NA,02-04-13,10-04-13
2012,Andavadoaka,-6,KiP,FH69234,B.R|M.W,NA,NA,FH69235,FH69236,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2012-KiP-Andavadoaka--6,2012,2012,NA,NA,19-04-12,19-04-12,19-04-12,19-04-12,NA,NA,NA,NA,NA,NA,NA,NA,08-04-12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-04-12,10.5,24.6,10.6,19-04-12,10.7,24.8,8.5,NA,NA,NA,NA,24.8,19-04-12,14.155,19-04-12,10-03-12,04-04-12,10-03-12,NA,19-04-12,19-04-12
2015,Andavadoaka,410,MP,FH73440,R.O|M.O,FH73441,R.R|M.O,NA,NA,NA,NA,NA,no,no,NA,NA,NA,F,M,2015-MP-Andavadoaka-410,2014,2014,05-03-15,25-04-15,NA,NA,NA,NA,413,414,421,Predated,7554083,319696,0,2,NA,13-04-15,14-04-15,21-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-04-15,NA,05-03-15,25-04-15
2015,Andavadoaka,103,MP,FH72672,B.G|M.W,FH72680,B.L|M.R,FH73522,FH73545,NA,M,F,yes,yes,NA,NA,NA,M,NA,2015-MP-Andavadoaka-103,2015,2015,03-04-15,22-04-15,01-04-15,01-04-15,01-04-15,01-04-15,331,327,424,HATCH,7555571,320080,2,2,22-04-15,31-03-15,27-03-15,24-04-15,22-04-15,427,430,NA,0,3,NA,NA,NA,427,430,430,NA,27-04-15,30-04-15,NA,NA,NA,27-04-15,30-04-15,30-04-15,NA,22-04-15,7.2,20.9,7.4,24-04-15,7.4,20.2,7.18,NA,NA,NA,NA,20.9,22-04-15,4.327,22-04-15,23-03-15,17-04-15,31-03-15,-7.327,01-04-15,30-04-15
2009,Andavadoaka,30,MP,FH47919,R.Y|G.M,FH47921,R.L|L.M,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,F,M,2009-MP-Andavadoaka-30,2009,2009,NA,NA,24-04-09,24-04-09,24-04-09,24-04-09,318,407,410,HATCH,7560750,320624,0,2,NA,18-03-09,07-04-09,10-04-09,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-03-09,NA,24-04-09,24-04-09
2015,Andavadoaka,343,KiP,FH73237,B.M|Y.G,FH73489,B.M|O.O,FH73238,FH73239,NA,M,F,yes,yes,NA,NA,NA,M,NA,2015-KiP-Andavadoaka-343,2015,2015,NA,NA,27-04-15,27-04-15,27-04-15,27-04-15,404,406,427,HATCH,7555781,321451,2,2,NA,04-04-15,06-04-15,27-04-15,NA,427,427,NA,0,1,NA,NA,NA,427,427,427,NA,27-04-15,27-04-15,NA,NA,NA,27-04-15,27-04-15,27-04-15,NA,27-04-15,7.6,20.2,6.25,27-04-15,7.7,19.5,6.12,NA,NA,NA,NA,20.2,27-04-15,2.563,27-04-15,30-03-15,24-04-15,04-04-15,-4.563,27-04-15,27-04-15
2015,Andavadoaka,220,KiP,FH73082,G.M|W.G,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-220,2015,2015,NA,NA,30-03-15,30-03-15,30-03-15,30-03-15,325,326,331,PRED,7553423,320011,0,2,NA,25-03-15,26-03-15,31-03-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-03-15,NA,30-03-15,30-03-15
2013,Andavadoaka,344,KiP,FH47333,W.Y|M.R,FH68848,W.L|M.B,NA,NA,NA,M,F,yes,yes,NA,NA,NA,M,NA,2013-KiP-Andavadoaka-344,2009,2009,20-04-13,25-04-13,25-04-13,25-04-13,25-04-13,25-04-13,420,425,508,UNKNOWN,7554900,321225,NA,1,NA,20-04-13,25-04-13,08-05-13,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-04-13,NA,20-04-13,25-04-13
2015,Andavadoaka,621,WfP,FH73591,G.G|G.M,NA,NA,Y.X|G.X,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2015-WfP-Andavadoaka-621,2015,2015,NA,NA,25-05-15,25-05-15,25-05-15,25-05-15,514,516,NA,UNKNOWN,7554683,321040,NA,2,NA,14-05-15,16-05-15,NA,NA,609,609,NA,0,1,NA,NA,NA,609,609,609,NA,09-06-15,09-06-15,NA,NA,NA,09-06-15,09-06-15,09-06-15,NA,09-06-15,9.7,21.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,21.2,09-06-15,5.083,09-06-15,09-05-15,03-06-15,14-05-15,-4.083,25-05-15,09-06-15
2015,Andavadoaka,443,KiP,FH68758,Y.M|B.L,NA,NA,NA,NA,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2015-KiP-Andavadoaka-443,2015,2015,20-04-15,20-04-15,10-04-15,10-04-15,10-04-15,10-04-15,404,409,421,Predated,7555915,321005,0,2,NA,04-04-15,09-04-15,21-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-04-15,NA,10-04-15,20-04-15
2013,Andavadoaka,-133,KiP,FH72273,G.O|G.M,FH72272,R.L|M.W,NA,NA,NA,M,M,yes,yes,two males as parents,NA,NA,M,NA,2013-KiP-Andavadoaka--133,2013,2013,NA,NA,08-05-13,08-05-13,08-05-13,08-05-13,NA,NA,NA,NA,NA,NA,NA,NA,09-04-13,NA,NA,NA,NA,508,508,NA,0,1,NA,NA,NA,508,508,508,NA,08-05-13,08-05-13,NA,NA,NA,08-05-13,08-05-13,08-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-05-13,08-05-13
2013,Andavadoaka,-2,KiP,FH47187,R.G|M.O,NA,NA,FH47179,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2013-KiP-Andavadoaka--2,2013,2013,NA,NA,23-04-13,23-04-13,23-04-13,23-04-13,NA,NA,NA,NA,NA,NA,NA,NA,18-04-13,NA,NA,NA,NA,423,423,NA,0,1,NA,NA,NA,423,423,423,NA,23-04-13,23-04-13,NA,NA,NA,23-04-13,23-04-13,23-04-13,NA,23-04-13,8.5,22.5,6.8,NA,NA,NA,NA,NA,NA,NA,NA,22.5,23-04-13,8.359,23-04-13,20-03-13,14-04-13,20-03-13,NA,23-04-13,23-04-13
2015,Andavadoaka,205,KiP,FH68765,W.G|M.L,FH68789,NA,NA,NA,NA,F,M,no,no,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-205,2013,2013,07-03-15,30-04-15,NA,NA,NA,NA,313,314,414,PRED,7553295,320564,0,2,NA,13-03-15,14-03-15,14-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-03-15,NA,07-03-15,30-04-15
2015,Andavadoaka,631,WfP,NA,YY.X|BY.X,FH73295,G.G|Y.M,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2015-WfP-Andavadoaka-631,2015,NA,NA,NA,19-05-15,18-06-15,19-05-15,18-06-15,607,617,NA,UNKNOWN,7552406,321820,NA,2,NA,07-06-15,17-06-15,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07-06-15,NA,19-05-15,18-06-15
2015,Andavadoaka,114,MP,FH68762,B.Y|M.W,FH17826,NA,NA,NA,NA,F,M,no,no,NA,NA,NA,F,NA,2015-MP-Andavadoaka-114,2013,2013,10-03-15,29-04-15,NA,NA,NA,NA,426,429,NA,NA,7554400,319723,NA,2,NA,26-04-15,29-04-15,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-04-15,NA,10-03-15,29-04-15
2015,Andavadoaka,114,WfP,FH68777,W.B|M.L,NA,NA,NA,NA,NA,M,NA,no,NA,NA,NA,NA,M,NA,2015-WfP-Andavadoaka-114,2013,2013,05-03-15,02-05-15,NA,NA,NA,NA,415,411,NA,HATCH,7556920,319866,NA,2,NA,15-04-15,11-04-15,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-04-15,NA,05-03-15,02-05-15
2015,Andavadoaka,682,KiP,FH72974,L.M|O.Y,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-682,2015,2015,NA,NA,08-05-15,08-05-15,08-05-15,08-05-15,428,508,NA,UNKNOWN,7555949,323273,NA,2,NA,28-04-15,08-05-15,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-04-15,NA,08-05-15,08-05-15
2012,Andavadoaka,103,KiP,FH69017,Y.G|M.L,NA,NA,NA,NA,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2012-KiP-Andavadoaka-103,2012,2012,NA,NA,26-04-12,26-04-12,26-04-12,26-04-12,414,425,426,UNKNOWN,7553886,320418,NA,2,NA,14-04-12,25-04-12,26-04-12,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-04-12,NA,26-04-12,26-04-12
2010,Andavadoaka,28,KiP,FH47541,G.B|R.M,FH47540,G.O|R.M,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2010-KiP-Andavadoaka-28,2010,2010,NA,NA,28-03-10,28-03-10,28-03-10,28-03-10,321,324,328,EXPERIMENT,7559334,320462,NA,2,NA,21-03-10,24-03-10,28-03-10,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-03-10,NA,28-03-10,28-03-10
2013,Andavadoaka,-124,KiP,FH72239,G.B|G.M,NA,NA,FH72240,FH72393,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2013-KiP-Andavadoaka--124,2013,2013,23-05-13,23-05-13,03-05-13,04-06-13,03-05-13,04-06-13,NA,NA,NA,NA,NA,NA,NA,NA,01-05-13,NA,NA,NA,NA,503,608,NA,0,3,NA,NA,NA,503,608,608,NA,03-05-13,08-06-13,NA,NA,NA,03-05-13,08-06-13,08-06-13,NA,03-05-13,7.3,21.1,5.9,04-06-13,12.6,29.2,16.2,NA,NA,NA,NA,29.2,04-06-13,25.243,04-06-13,14-04-13,09-05-13,14-04-13,NA,03-05-13,08-06-13
2013,Andavadoaka,-9,KiP,FH47466,B.B|M.L,FH72157,B.B|L.M,FH72158,FH72159,NA,M,M,no,yes,parent2 id based on brood fates observations (CCI 2016),NA,NA,M,NA,2013-KiP-Andavadoaka--9,2013,2013,NA,NA,30-03-13,30-03-13,30-03-13,30-03-13,NA,NA,NA,NA,NA,NA,NA,NA,22-04-13,NA,NA,NA,NA,507,523,NA,0,2,NA,NA,poor quality,507,523,523,NA,07-05-13,23-05-13,NA,NA,NA,07-05-13,23-05-13,23-05-13,NA,07-05-13,10.7,24.6,12.4,07-05-13,11.5,25.4,12.4,NA,NA,NA,NA,25.4,07-05-13,15.667,07-05-13,27-03-13,21-04-13,27-03-13,NA,30-03-13,23-05-13
2015,Andavadoaka,442,KiP,FH73320,NA,FH73321,Y.M|G.L,NA,NA,NA,M,NA,no,yes,NA,NA,NA,M,F,2015-KiP-Andavadoaka-442,NA,NA,NA,NA,NA,NA,NA,NA,329,406,418,Hatch?,7555980,320995,NA,2,NA,29-03-15,06-04-15,18-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-03-15,NA,NA,NA
2015,Andavadoaka,652,KiP,FH68959,GG.M|L.G,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-652,2015,2013,NA,NA,16-05-15,16-05-15,16-05-15,16-05-15,425,427,521,HATCH,7554661,321044,NA,2,NA,25-04-15,27-04-15,21-05-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-04-15,NA,16-05-15,16-05-15
2015,Andavadoaka,428,KiP,FH68754,Y.M|B.G,FH68736,Y.M|O.B,NA,NA,NA,M,F,yes,yes,NA,NA,NA,M,NA,2015-KiP-Andavadoaka-428,2015,2015,NA,NA,04-04-15,04-04-15,04-04-15,04-04-15,326,328,419,Hatch?,7556172,320968,NA,2,NA,26-03-15,28-03-15,19-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-03-15,NA,04-04-15,04-04-15
2014,Andavadoaka,325,KiP,FH72917,B.M|G.B,FH72918,B.M|O.B,NA,NA,NA,M,F,yes,yes,NA,NA,NA,M,NA,2014-KiP-Andavadoaka-325,2014,2014,NA,NA,08-04-14,08-04-14,08-04-14,08-04-14,403,405,423,PRED,7560564,323713,NA,2,NA,03-04-14,05-04-14,23-04-14,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03-04-14,NA,08-04-14,08-04-14
2013,Andavadoaka,63,KiP,FH68767,O.W|M.G,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2013-KiP-Andavadoaka-63,2013,2013,NA,NA,09-04-13,09-04-13,09-04-13,09-04-13,319,324,331,UNKNOWN,7557194,319946,NA,2,NA,19-03-13,24-03-13,31-03-13,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-03-13,NA,09-04-13,09-04-13
2013,Andavadoaka,27,MP,FH17885,G.G|M.R,FH17819,L.Y|M.W,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2013-MP-Andavadoaka-27,2013,2009,09-04-13,07-05-13,09-04-13,09-04-13,09-04-13,09-04-13,404,409,NA,UNKNOWN,7557102,320038,NA,2,NA,04-04-13,09-04-13,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-04-13,NA,09-04-13,07-05-13
2014,Andavadoaka,9,WfP,FH72498,G.G|M.L,FH47907,R.B|L.M,FH72839,NA,NA,M,F,yes,yes,NA,NA,NA,M,NA,2014-WfP-Andavadoaka-9,2014,2014,27-04-14,27-04-14,16-03-14,16-03-14,16-03-14,16-03-14,308,316,403,HATCH,7554662,320860,1,3,03-04-14,08-03-14,16-03-14,03-04-14,NA,408,426,NA,0,2,NA,NA,NA,408,426,426,NA,08-04-14,26-04-14,NA,NA,NA,08-04-14,26-04-14,26-04-14,NA,03-04-14,6.8,17.3,6.3,NA,NA,NA,NA,NA,NA,NA,NA,17.3,03-04-14,-4.745,03-04-14,09-03-14,03-04-14,08-03-14,1,16-03-14,27-04-14
2013,Andavadoaka,304,KiP,FH68768,O.Y|M.G,NA,NA,NA,NA,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2013-KiP-Andavadoaka-304,2013,2013,NA,NA,09-04-13,09-04-13,09-04-13,09-04-13,330,409,NA,UNKNOWN,7557193,319995,NA,2,NA,30-03-13,09-04-13,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-03-13,NA,09-04-13,09-04-13
2014,Andavadoaka,-25,KiP,FH72923,O.M|L.G,NA,NA,FH72924,FH72925,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2014-KiP-Andavadoaka--25,2014,2014,NA,NA,21-05-14,21-05-14,21-05-14,21-05-14,NA,NA,NA,NA,NA,NA,NA,NA,21-05-14,NA,NA,NA,NA,521,521,NA,0,1,NA,NA,NA,521,521,521,NA,21-05-14,21-05-14,NA,NA,NA,21-05-14,21-05-14,21-05-14,NA,21-05-14,8.5,18.5,6.5,21-05-14,8.6,21,8,NA,NA,NA,NA,21,21-05-14,4.579,21-05-14,21-04-14,16-05-14,21-04-14,NA,21-05-14,21-05-14
2010,Andavadoaka,239,KiP,FH47557,Y.W|B.M,FH47634,O.W|W.M,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2010-KiP-Andavadoaka-239,2010,2010,NA,NA,21-03-10,21-03-10,21-03-10,21-03-10,304,312,322,PRED,7554737,322362,NA,2,NA,04-03-10,12-03-10,22-03-10,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-03-10,NA,21-03-10,21-03-10
2015,Andavadoaka,135,KiP,FH72661,W.B|R.M,FH72700,W.W|O.M,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-135,2015,2015,27-03-15,24-04-15,24-03-15,11-04-15,24-03-15,11-04-15,406,403,423,PRED,7556883,320167,NA,2,NA,06-04-15,03-04-15,23-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06-04-15,NA,24-03-15,24-04-15
2012,Andavadoaka,60,KiP,FH68869,G.G|M.B,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2012-KiP-Andavadoaka-60,2012,2012,NA,NA,24-05-12,24-05-12,24-05-12,24-05-12,512,512,529,PRED,7556095,321080,NA,2,NA,12-05-12,12-05-12,29-05-12,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-05-12,NA,24-05-12,24-05-12
